episode: 2695, score: 250.0, epsilon: 0.05
marking, episode: 2700, score: 450.0, mean_score: 214.00, std_score: 212.02
episode: 2700, score: 450.0, epsilon: 0.05
episode: 2705, score: 0.0, epsilon: 0.05
episode: 2710, score: 250.0, epsilon: 0.05
episode: 2715, score: 0.0, epsilon: 0.05
episode: 2720, score: 0.0, epsilon: 0.05
episode: 2725, score: 250.0, epsilon: 0.05
episode: 2730, score: 500.0, epsilon: 0.05
episode: 2735, score: 0.0, epsilon: 0.05
episode: 2740, score: 0.0, epsilon: 0.05
episode: 2745, score: 250.0, epsilon: 0.05
episode: 2750, score: 0.0, epsilon: 0.05
